S
500
32,75,4
396,316,17
407,189,9
435,340,8
358,159,12
257,196,17
108,487,5
395,431,14
467,413,14
110,474,20
228,94,16
178,25,8
128,121,25
198,245,7
29,406,10
199,321,20
161,354,25
377,142,5
302,21,6
438,46,7
9,199,14
304,253,13
259,180,19
140,80,24
238,34,14
470,161,9
117,209,17
499,111,10
323,76,19
349,98,6
303,227,18
426,81,15
276,221,5
197,258,17
381,382,11
278,7,22
431,440,21
411,378,22
224,449,6
6,189,5
439,30,9
316,236,17
89,295,16
173,87,9
169,467,13
370,259,23
144,17,12
124,83,25
465,383,14
445,432,12
113,456,6
261,53,23
332,317,17
158,219,21
36,307,22
440,88,12
289,421,21
150,149,14
254,134,16
426,383,9
284,150,23
233,245,12
31,395,14
76,195,16
174,161,15
450,378,9
273,337,4
88,398,9
374,291,10
359,81,18
106,130,8
106,66,17
390,343,13
179,281,5
94,143,4
347,54,19
16,281,14
426,317,10
122,437,21
95,438,6
43,34,20
218,478,25
470,314,20
486,218,10
357,186,12
129,198,16
337,159,15
445,476,23
357,147,7
246,374,21
13,312,5
377,270,21
124,176,7
494,159,22
108,290,22
417,242,14
264,224,5
305,329,22
163,410,25
491,10,23
349,482,25
326,248,15
152,183,10
331,73,15
335,390,23
72,132,5
241,268,19
317,491,6
289,487,15
312,178,15
350,349,13
58,296,22
192,48,23
366,355,19
392,405,4
122,1,4
11,325,22
104,396,21
184,144,11
65,319,6
144,495,11
57,283,8
342,203,8
118,48,8
196,476,20
363,211,25
65,243,21
376,262,15
469,294,19
137,251,13
496,108,6
220,342,20
375,497,22
344,79,23
387,434,20
451,438,12
317,289,22
380,337,20
76,424,12
197,380,16
434,120,5
252,345,4
299,376,13
106,88,25
408,380,7
99,491,22
60,121,18
175,347,17
309,101,19
196,309,18
310,121,16
219,426,23
266,202,22
165,290,11
367,274,19
20,216,18
480,313,11
220,134,11
440,272,19
101,168,22
383,34,21
74,164,4
332,349,21
312,19,10
441,210,19
494,241,13
292,349,24
25,308,14
338,374,17
446,22,20
117,166,8
215,388,18
489,401,21
395,447,23
22,474,4
37,119,20
484,243,14
5,375,5
383,9,21
169,119,15
270,224,7
292,241,11
312,186,10
298,359,7
2,394,12
190,145,25
128,491,23
469,86,24
169,300,4
46,203,13
77,266,11
333,403,12
176,244,5
162,480,12
231,366,8
433,27,19
234,197,20
265,219,18
271,133,10
173,66,12
425,459,13
133,52,16
384,147,9
434,267,9
473,461,8
77,237,8
266,426,23
33,49,10
224,270,5
32,380,4
200,487,20
273,146,18
465,370,14
230,470,17
421,84,25
255,57,9
175,169,5
164,408,10
421,428,15
419,483,4
364,420,12
10,53,16
61,309,7
401,238,24
122,340,19
146,148,5
261,218,13
324,87,15
2,170,15
42,280,18
231,452,10
483,271,5
318,226,15
20,340,14
69,47,11
109,378,5
404,179,9
222,214,17
214,472,16
475,486,12
287,310,13
77,219,18
93,170,11
69,409,17
190,423,10
98,28,20
400,241,9
320,96,12
144,291,14
38,71,10
279,8,17
50,92,25
409,185,21
171,111,8
266,114,23
343,179,14
258,460,8
381,412,12
130,437,19
378,141,6
37,31,5
221,67,9
298,283,5
37,237,21
278,229,13
212,258,11
320,120,4
169,339,6
437,141,13
361,374,11
352,67,8
370,218,12
157,347,12
211,19,5
334,325,4
437,343,9
260,351,23
158,99,20
67,424,4
337,73,14
431,17,8
308,275,11
70,361,4
65,404,9
337,406,8
312,161,16
40,94,16
151,8,20
162,193,25
368,210,25
443,301,4
337,471,25
284,57,13
447,316,14
145,380,20
59,223,18
28,38,22
285,188,24
160,372,4
322,295,16
129,236,5
268,87,9
465,252,12
413,61,12
234,40,19
28,27,16
456,459,19
61,265,25
433,195,17
401,56,24
445,29,17
230,112,11
475,42,18
272,185,25
227,317,7
107,319,24
451,103,23
396,31,9
5,50,8
142,444,8
361,434,14
410,180,13
84,219,17
116,441,23
73,212,11
472,204,23
461,378,19
196,250,12
311,492,5
351,195,14
17,361,19
283,321,22
331,366,22
238,90,9
246,167,15
166,336,24
54,388,15
115,435,5
446,20,16
73,425,25
452,196,25
218,119,12
33,481,10
95,496,20
497,76,24
403,463,7
94,19,14
302,341,21
27,21,20
148,402,13
489,485,20
454,436,4
361,363,10
403,307,11
224,258,10
251,364,10
482,75,8
150,310,16
30,12,14
418,52,24
82,98,15
249,317,8
398,120,23
128,438,21
199,288,11
478,120,25
44,170,10
373,472,14
132,31,15
150,336,13
67,227,6
308,195,4
224,35,13
199,129,8
202,285,10
408,425,25
11,44,6
358,382,18
409,152,21
140,293,17
260,251,24
77,55,4
165,73,15
303,54,6
238,184,8
454,286,12
475,491,10
317,396,9
44,216,7
443,460,11
45,139,4
315,27,20
358,494,18
169,209,4
278,270,15
341,78,14
125,155,19
229,95,10
384,229,15
430,156,22
123,297,16
301,36,16
195,361,8
106,207,24
66,459,14
224,168,16
370,397,22
438,401,19
103,61,12
397,319,23
191,426,21
118,209,21
224,405,24
294,117,5
42,123,18
243,199,5
340,403,6
39,235,16
414,130,13
220,291,4
167,217,10
437,325,20
399,498,7
444,261,14
44,112,16
472,389,10
102,307,23
74,217,11
390,297,11
180,130,4
223,50,19
449,51,19
185,67,9
420,210,18
265,65,8
337,18,13
213,43,24
413,376,7
370,217,14
363,96,12
166,314,18
2,19,16
180,197,11
118,123,6
289,236,16
407,439,23
407,198,24
57,467,6
330,76,13
305,4,6
411,388,7
409,34,4
341,173,5
349,224,14
82,413,19
422,350,25
220,168,19
265,426,11
146,311,23
321,309,24
328,264,6
407,321,6
260,36,15
450,262,5
120,398,13
178,33,8
286,344,12
76,201,18
389,29,13
404,80,19
71,128,19
405,128,6
19,151,4
236,261,20
369,288,24
331,472,4
40,467,8
354,4,8
135,43,17
302,463,13
143,469,16
479,38,5
31,3,21
192,470,21
208,12,18
375,401,12
409,299,14
40,75,10
483,13,4
487,335,20
123,419,25
232,20,24
292,200,21
31,53,21
294,395,11
438,7,24
137,139,14
30,327,25
79,164,10
497,66,8
